Math Question,Chat GPT Answer(str),Chat GPT Answer(int),Correct Answer,Was it correct?,Was it prompted?
What's 6+5+6+4+7+2+8+10+10+2+3+5+7+2+1?,78,78,78,True,False
What's 4+3+2+8+2+10+4+7+3+8+2+6+1?,The sum of those numbers is 60.,60,60,True,True
What's 6+1+5+2+4+1+7+10+8+5+1?,50,50,50,True,False
What's 6+4+9+1+4+7+10+6+9+9+9+4?,The sum of those numbers is 78.,78,78,True,True
What's 2+5+1+1+3+8+5+3+1+1+8+9+5?,53,53,52,False,False
What's 1+3+10+4+8+10+7+2+8+7+8+6?,The sum of the numbers you provided is 74.,74,74,True,True
What's 6+1+9+7+1+1+8+6+4+9+8+10?,70,70,70,True,False
What's 10+9+8+9+1+1+3+2+8+1+7+6+8?,The sum of those numbers is 73.,73,73,True,True
What's 7+1+6+6+7+1+3+7+7+1?,46,46,46,True,False
What's 10+9+8+8+4+9+5+2+3+3+1+2+2+8?,The sum of those numbers is 74.,74,74,True,True
What's 2+4+5+2+10+7+7+5+5+4+5+3+7+5?,71,71,71,True,False
What's 6+2+5+5+10+9+7+7+9+2+7?,The sum of 6+2+5+5+10+9+7+7+9+2+7 is 69.,69,69,True,True
What's 4+6+8+3+9+6+1+3+5+4+7+4+2?,62,62,62,True,False
What's 7+3+6+1+6+1+8+5+9+1?,The sum of 7+3+6+1+6+1+8+5+9+1 is 47.,47,47,True,True
What's 1+10+1+1+5+9+6+6+10+8?,47,47,57,False,False
What's 9+6+4+5+1+7+5+6+6+4+3+4+3+4+10?,The sum of those numbers is 77.,77,77,True,True
What's 7+7+10+7+1+5+4+3+8+5+7+4?,68,68,68,True,False
What's 9+1+8+10+1+5+9+6+4+5+7+8+7+7?,The sum of 9+1+8+10+1+5+9+6+4+5+7+8+7+7 is 87.,87,87,True,True
What's 8+1+8+4+3+9+10+9+6+6+10+1+7+2?,84,84,84,True,False
What's 5+2+3+8+1+8+5+3+4+6?,The sum of 5+2+3+8+1+8+5+3+4+6 is 45.,45,45,True,True
What's 3+10+3+2+10+7+5+10+3+7+6+9?,75,75,75,True,False
What's 1+3+1+1+3+10+8+9+6+5+7+10+4?,The sum of those numbers is 68.,68,68,True,True
What's 7+7+4+5+8+2+10+3+4+2+5+6?,63,63,63,True,False
What's 6+9+2+1+9+5+8+2+4+9+6+9+5?,The sum of 6+9+2+1+9+5+8+2+4+9+6+9+5 is 75.,75,75,True,True
What's 10+2+7+5+6+4+8+3+2+7+8?,62,62,62,True,False
What's 5+9+6+5+2+3+1+6+9+3+4?,The sum of 5+9+6+5+2+3+1+6+9+3+4 is 53.,53,53,True,True
What's 4+7+4+4+8+6+1+7+10+4+5+10+7?,77,77,77,True,False
What's 8+2+3+7+6+6+2+2+8+2+6+4+4+7+5?,The sum of 8+2+3+7+6+6+2+2+8+2+6+4+4+7+5 is 72.,72,72,True,True
What's 8+3+1+10+4+6+9+6+2+3+9+5+4+3?,68,68,73,False,False
What's 9+9+10+1+9+5+7+8+6+6+2+8+6+2?,The sum of those numbers is 88.,88,88,True,True
What's 5+3+3+3+7+4+7+9+10+1?,The sum of 5+3+3+3+7+4+7+9+10+1 is 52.,52,52,True,False
What's 7+5+10+4+4+9+2+1+4+10+10+2+9?,The sum of those numbers is 77.,77,77,True,True
What's 8+9+5+7+8+8+5+8+7+7+8?,80,80,80,True,False
What's 5+8+6+5+8+3+6+1+5+6+10+1+8+2+2?,The sum of those numbers is 76.,76,76,True,True
What's 5+7+6+3+9+4+1+5+3+9+10+5+10+5+2?,80,80,84,False,False
What's 6+9+3+10+3+5+5+3+8+10+9+10+10?,The sum of those numbers is 91.,91,91,True,True
What's 5+1+4+3+7+1+8+10+6+4?,49,49,49,True,False
What's 6+5+8+6+8+6+8+1+5+7+10+5+6?,The sum of those numbers is 81.,81,81,True,True
What's 2+8+3+6+2+1+5+3+10+2+3+5+5+6+6?,67,67,67,True,False
What's 2+7+6+4+8+4+9+5+4+7+6?,The sum of 2+7+6+4+8+4+9+5+4+7+6 is 62.,62,62,True,True
What's 2+5+7+8+8+10+7+1+8+10+7?,73,73,73,True,False
What's 7+1+1+4+7+8+5+2+8+6+4?,The sum of 7+1+1+4+7+8+5+2+8+6+4 is 53.,53,53,True,True
What's 1+5+4+9+2+9+6+9+3+8?,56,56,56,True,False
What's 8+2+6+7+1+8+8+10+8+10+10+9+6?,The sum of 8+2+6+7+1+8+8+10+8+10+10+9+6 is 93.,93,93,True,True
What's 5+1+7+8+1+9+7+9+9+6+1+8+6?,78,78,77,False,False
What's 7+5+4+3+6+1+2+1+4+4+1+1+9?,The sum of 7+5+4+3+6+1+2+1+4+4+1+1+9 is 48.,48,48,True,True
What's 5+5+10+4+8+7+3+7+8+7+1+9+3+7+2?,84,84,86,False,False
What's 7+4+5+9+8+8+4+2+2+3?,The sum of 7+4+5+9+8+8+4+2+2+3 is 52.,52,52,True,True
What's 1+4+9+8+5+10+4+4+5+2+4+4+4?,64,64,64,True,False
What's 6+1+6+6+4+1+2+8+5+4+7?,The sum of 6+1+6+6+4+1+2+8+5+4+7 is 50.,50,50,True,True
What's 9+6+9+10+8+5+3+6+7+1+8+1?,74,74,73,False,False
What's 9+2+9+4+6+5+9+9+4+6+4+1+10+2+7?,The sum of all those numbers is 98.,98,87,False,True
What's 5+1+2+7+1+3+2+8+6+10+10+1+6+6?,60,60,68,False,False
What's 10+10+6+2+8+2+8+9+4+4+7+5+7?,The sum of 10+10+6+2+8+2+8+9+4+4+7+5+7 is 82.,82,82,True,True
